item_id,dialogue,turn_id,final_turn,label,sava_rerun,stage_rerun,numeric_regex,llm_judge_binary,llm_judge_three_way,pattern
HV001,311,8,True,0,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=hit | JUDGE=miss
HV002,407,5,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV003,270,6,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV004,466,3,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV005,87,7,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV006,452,7,False,0,incorrect,cas_not_equivalent,incorrect,correct,incorrect,SAVA=hit | JUDGE=miss
HV007,320,3,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV008,5,2,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV009,32,6,False,1,correct,cas_equivalent,correct,incorrect,incorrect,SAVA=hit | JUDGE=miss
HV010,594,5,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV011,88,4,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV012,230,4,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV013,315,2,False,0,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=hit
HV014,193,3,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV015,509,7,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV016,272,3,False,0,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=hit | JUDGE=miss
HV017,208,5,True,1,undetermined,prose_guard,incorrect,correct,correct,SAVA=abstain | JUDGE=hit
HV018,250,6,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV019,391,9,False,0,correct,cas_equivalent,correct,incorrect,incorrect,SAVA=miss | JUDGE=hit
HV020,332,6,False,0,incorrect,conclusion_cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV021,122,7,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV022,252,2,False,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV023,480,6,False,1,undetermined,prose_guard,incorrect,correct,correct,SAVA=abstain | JUDGE=hit
HV024,334,4,False,0,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=hit | JUDGE=miss
HV025,343,9,True,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV026,24,4,False,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV027,344,5,True,0,incorrect,cas_not_equivalent,incorrect,correct,incorrect,SAVA=hit | JUDGE=miss
HV028,182,3,False,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV029,436,3,True,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV030,170,6,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV031,421,3,False,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV032,585,3,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV033,335,6,True,1,undetermined,prose_guard,correct,correct,correct,SAVA=abstain | JUDGE=hit
HV034,332,5,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV035,127,3,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV036,12,8,False,0,incorrect,conclusion_cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV037,332,17,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV038,388,3,False,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV039,365,4,True,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV040,306,2,False,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV041,79,3,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV042,101,5,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV043,312,6,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV044,594,3,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
